Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,076090	0,333333	0,333333	6	0	
1	0,090340	0,388889	0,388889	7	0	
2	0,105600	0,388889	0,388889	7	0	
3	0,121596	0,388889	0,388889	7	0	
4	0,138424	0,444444	0,444444	8	0	
5	0,156654	0,444444	0,444444	8	0	
6	0,176498	0,500000	0,500000	9	0	
7	0,197235	0,611111	0,611111	11	0	
8	0,218633	0,555556	0,611111	10	0	
9	0,239729	0,555556	0,611111	10	0	
10	0,260712	0,611111	0,611111	11	0	
11	0,280246	0,611111	0,611111	11	0	
12	0,298394	0,611111	0,611111	11	0	
13	0,314185	0,611111	0,611111	11	0	
14	0,327452	0,611111	0,611111	11	0	
15	0,339535	0,611111	0,611111	11	0	
16	0,350548	0,722222	0,722222	13	0	
17	0,360738	0,666667	0,722222	12	0	
18	0,370527	0,722222	0,722222	13	0	
19	0,380682	0,722222	0,722222	13	0	
20	0,390018	0,722222	0,722222	13	0	
21	0,398975	0,777778	0,777778	14	0	
22	0,408383	0,722222	0,777778	13	0	
23	0,417868	0,777778	0,777778	14	0	
24	0,427813	0,777778	0,777778	14	0	
25	0,436645	0,777778	0,777778	14	0	
26	0,446006	0,777778	0,777778	14	0	
27	0,455190	0,777778	0,777778	14	0	
28	0,464639	0,833333	0,833333	15	0	
29	0,472656	0,833333	0,833333	15	0	
30	0,481296	0,888889	0,888889	16	0	
31	0,489985	0,888889	0,888889	16	0	
32	0,499098	0,888889	0,888889	16	0	
33	0,507259	0,888889	0,888889	16	0	
34	0,516531	0,888889	0,888889	16	0	
35	0,524234	0,888889	0,888889	16	0	
36	0,533677	0,888889	0,888889	16	0	
37	0,543133	0,888889	0,888889	16	0	
38	0,552781	0,944444	0,944444	17	0	
39	0,562124	0,944444	0,944444	17	0	
40	0,570491	0,944444	0,944444	17	0	
41	0,580466	0,944444	0,944444	17	0	
42	0,589215	0,944444	0,944444	17	0	
43	0,598079	0,944444	0,944444	17	0	
44	0,607054	0,944444	0,944444	17	0	
45	0,617012	0,944444	0,944444	17	0	
46	0,626153	0,944444	0,944444	17	0	
47	0,635184	0,944444	0,944444	17	0	
48	0,643958	0,944444	0,944444	17	0	
49	0,653444	0,944444	0,944444	17	0	
50	0,660008	0,944444	0,944444	17	0	
51	0,668793	0,944444	0,944444	17	0	
52	0,677280	0,944444	0,944444	17	0	
53	0,684824	0,944444	0,944444	17	0	
54	0,690631	0,944444	0,944444	17	0	
55	0,699529	0,944444	0,944444	17	0	
56	0,705141	0,944444	0,944444	17	0	
57	0,712604	0,944444	0,944444	17	0	
58	0,719196	0,944444	0,944444	17	0	
59	0,727960	0,944444	0,944444	17	0	
60	0,734068	0,944444	0,944444	17	0	
61	0,739870	0,944444	0,944444	17	0	
62	0,745714	0,944444	0,944444	17	0	
63	0,752334	0,944444	0,944444	17	0	
64	0,757845	0,944444	0,944444	17	0	
65	0,763664	0,944444	0,944444	17	0	
66	0,768779	0,944444	0,944444	17	0	
67	0,775348	0,944444	0,944444	17	0	
68	0,779962	0,944444	0,944444	17	0	
69	0,785236	1,000000	1,000000	18	0	
70	0,788896	1,000000	1,000000	18	0	
71	0,794375	1,000000	1,000000	18	0	
72	0,799383	1,000000	1,000000	18	0	
73	0,803626	1,000000	1,000000	18	0	
74	0,808265	1,000000	1,000000	18	0	
75	0,814582	1,000000	1,000000	18	0	
76	0,819148	1,000000	1,000000	18	0	
77	0,822039	1,000000	1,000000	18	0	
78	0,828663	1,000000	1,000000	18	0	
79	0,831604	1,000000	1,000000	18	0	
80	0,835285	1,000000	1,000000	18	0	
81	0,836909	1,000000	1,000000	18	0	
82	0,840382	1,000000	1,000000	18	0	
83	0,845025	1,000000	1,000000	18	0	
84	0,847217	1,000000	1,000000	18	0	
85	0,850692	1,000000	1,000000	18	0	
86	0,851605	1,000000	1,000000	18	0	
87	0,854770	1,000000	1,000000	18	0	
88	0,855746	1,000000	1,000000	18	0	
89	0,859436	1,000000	1,000000	18	0	
90	0,862519	1,000000	1,000000	18	0	
91	0,864240	1,000000	1,000000	18	0	
92	0,864372	1,000000	1,000000	18	0	
93	0,868083	1,000000	1,000000	18	0	
94	0,868361	1,000000	1,000000	18	0	
95	0,870923	1,000000	1,000000	18	0	
96	0,869889	1,000000	1,000000	18	0	
97	0,873090	1,000000	1,000000	18	0	
98	0,873664	1,000000	1,000000	18	0	
99	0,875207	1,000000	1,000000	18	0	
100	0,878097	1,000000	1,000000	18	0	
101	0,879885	1,000000	1,000000	18	0	
102	0,878958	1,000000	1,000000	18	0	
103	0,880754	1,000000	1,000000	18	0	
104	0,881406	1,000000	1,000000	18	0	
105	0,880442	1,000000	1,000000	18	0	
106	0,882387	1,000000	1,000000	18	0	
107	0,883507	1,000000	1,000000	18	0	
108	0,884151	1,000000	1,000000	18	0	
109	0,885524	1,000000	1,000000	18	0	
110	0,886707	1,000000	1,000000	18	0	
111	0,886678	1,000000	1,000000	18	0	
112	0,887439	1,000000	1,000000	18	0	
113	0,888340	1,000000	1,000000	18	0	
114	0,887596	1,000000	1,000000	18	0	
115	0,889458	1,000000	1,000000	18	0	
116	0,890020	1,000000	1,000000	18	0	
117	0,890440	1,000000	1,000000	18	0	
118	0,891477	1,000000	1,000000	18	0	
119	0,891708	1,000000	1,000000	18	0	
120	0,891290	1,000000	1,000000	18	0	
121	0,893224	1,000000	1,000000	18	0	
122	0,893587	1,000000	1,000000	18	0	
123	0,892523	1,000000	1,000000	18	0	
124	0,893177	1,000000	1,000000	18	0	
125	0,895137	1,000000	1,000000	18	0	
126	0,894459	1,000000	1,000000	18	0	
127	0,894353	1,000000	1,000000	18	0	
128	0,896037	1,000000	1,000000	18	0	
129	0,896059	1,000000	1,000000	18	0	
130	0,896957	1,000000	1,000000	18	0	
131	0,896082	1,000000	1,000000	18	0	
132	0,895057	1,000000	1,000000	18	0	
133	0,898795	1,000000	1,000000	18	0	
134	0,898004	1,000000	1,000000	18	0	
135	0,896829	1,000000	1,000000	18	0	
136	0,897719	1,000000	1,000000	18	0	
137	0,896941	1,000000	1,000000	18	0	
138	0,898769	1,000000	1,000000	18	0	
139	0,899836	1,000000	1,000000	18	0	
140	0,898701	1,000000	1,000000	18	0	
141	0,899601	1,000000	1,000000	18	0	
142	0,899162	1,000000	1,000000	18	0	
143	0,900939	1,000000	1,000000	18	0	
144	0,900005	1,000000	1,000000	18	0	
145	0,900095	1,000000	1,000000	18	0	
146	0,900525	1,000000	1,000000	18	0	
147	0,901891	1,000000	1,000000	18	0	
148	0,901272	1,000000	1,000000	18	0	
149	0,901723	1,000000	1,000000	18	0	
150	0,903121	1,000000	1,000000	18	0	
151	0,903351	1,000000	1,000000	18	0	
152	0,903309	1,000000	1,000000	18	0	
153	0,903696	1,000000	1,000000	18	0	
154	0,904285	1,000000	1,000000	18	0	
155	0,903958	1,000000	1,000000	18	0	
156	0,904271	1,000000	1,000000	18	0	
157	0,903816	1,000000	1,000000	18	0	
158	0,905626	1,000000	1,000000	18	0	
159	0,904382	1,000000	1,000000	18	0	
160	0,905663	1,000000	1,000000	18	0	
161	0,906052	1,000000	1,000000	18	0	
162	0,906055	1,000000	1,000000	18	0	
163	0,907412	1,000000	1,000000	18	0	
164	0,906869	1,000000	1,000000	18	0	
165	0,907619	1,000000	1,000000	18	0	
166	0,908761	1,000000	1,000000	18	0	
167	0,907891	1,000000	1,000000	18	0	
168	0,908172	1,000000	1,000000	18	0	
169	0,908157	1,000000	1,000000	18	0	
170	0,908979	1,000000	1,000000	18	0	
171	0,908003	1,000000	1,000000	18	0	
172	0,908227	1,000000	1,000000	18	0	
173	0,909866	1,000000	1,000000	18	0	
174	0,910349	1,000000	1,000000	18	0	
175	0,910038	1,000000	1,000000	18	0	
176	0,910137	1,000000	1,000000	18	0	
177	0,909464	1,000000	1,000000	18	0	
178	0,909356	1,000000	1,000000	18	0	
179	0,910633	1,000000	1,000000	18	0	
180	0,909444	1,000000	1,000000	18	0	
181	0,909557	1,000000	1,000000	18	0	
182	0,910075	1,000000	1,000000	18	0	
183	0,909660	1,000000	1,000000	18	0	
184	0,910355	1,000000	1,000000	18	0	
185	0,909757	1,000000	1,000000	18	0	
186	0,909662	1,000000	1,000000	18	0	
187	0,908719	1,000000	1,000000	18	0	
188	0,909953	1,000000	1,000000	18	0	
189	0,910063	1,000000	1,000000	18	0	
190	0,911177	1,000000	1,000000	18	0	
191	0,910533	1,000000	1,000000	18	0	
192	0,910373	1,000000	1,000000	18	0	
193	0,911830	1,000000	1,000000	18	0	
194	0,910846	1,000000	1,000000	18	0	
195	0,911051	1,000000	1,000000	18	0	
196	0,911306	1,000000	1,000000	18	0	
197	0,911320	1,000000	1,000000	18	0	
198	0,910680	1,000000	1,000000	18	0	
199	0,909915	1,000000	1,000000	18	0	
200	0,910996	1,000000	1,000000	18	0	
201	0,912644	1,000000	1,000000	18	0	
202	0,911983	1,000000	1,000000	18	0	
203	0,912196	1,000000	1,000000	18	0	
204	0,912170	1,000000	1,000000	18	0	
205	0,911017	1,000000	1,000000	18	0	
206	0,911325	1,000000	1,000000	18	0	
207	0,911333	1,000000	1,000000	18	0	
208	0,913245	1,000000	1,000000	18	0	
209	0,912136	1,000000	1,000000	18	0	
210	0,912431	1,000000	1,000000	18	0	
211	0,911112	1,000000	1,000000	18	0	
212	0,912931	1,000000	1,000000	18	0	
213	0,913857	1,000000	1,000000	18	0	
214	0,912813	1,000000	1,000000	18	0	
215	0,914676	1,000000	1,000000	18	0	
216	0,913763	1,000000	1,000000	18	0	
217	0,913760	1,000000	1,000000	18	0	
218	0,913738	1,000000	1,000000	18	0	
219	0,914034	1,000000	1,000000	18	0	
220	0,912136	1,000000	1,000000	18	0	
221	0,913658	1,000000	1,000000	18	0	
222	0,911969	1,000000	1,000000	18	0	
223	0,912845	1,000000	1,000000	18	0	
224	0,914831	1,000000	1,000000	18	0	
225	0,914906	1,000000	1,000000	18	0	
226	0,914585	1,000000	1,000000	18	0	
227	0,914320	1,000000	1,000000	18	0	
228	0,913954	1,000000	1,000000	18	0	
229	0,914162	1,000000	1,000000	18	0	
230	0,915369	1,000000	1,000000	18	0	
231	0,913509	1,000000	1,000000	18	0	
232	0,913040	1,000000	1,000000	18	0	
233	0,912559	1,000000	1,000000	18	0	
234	0,913163	1,000000	1,000000	18	0	
235	0,911473	1,000000	1,000000	18	0	
236	0,911778	1,000000	1,000000	18	0	
237	0,912664	1,000000	1,000000	18	0	
238	0,912238	1,000000	1,000000	18	0	
239	0,912904	1,000000	1,000000	18	0	
240	0,913437	1,000000	1,000000	18	0	
241	0,913256	1,000000	1,000000	18	0	
242	0,913470	1,000000	1,000000	18	0	
243	0,911869	1,000000	1,000000	18	0	
244	0,913563	1,000000	1,000000	18	0	
245	0,913302	1,000000	1,000000	18	0	
246	0,913359	1,000000	1,000000	18	0	
247	0,913426	1,000000	1,000000	18	0	
248	0,912860	1,000000	1,000000	18	0	
249	0,912878	1,000000	1,000000	18	0	
250	0,911371	1,000000	1,000000	18	0	
251	0,911303	1,000000	1,000000	18	0	
252	0,911948	1,000000	1,000000	18	0	
