Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,497319	0,859155	0,859155	6	0	
1	0,497236	0,859155	0,859155	6	0	
2	0,497232	0,859155	0,859155	6	0	
3	0,497293	0,859155	0,859155	6	0	
4	0,497255	0,859155	0,859155	6	0	
5	0,497184	0,859155	0,859155	6	0	
6	0,497181	0,859155	0,859155	6	0	
7	0,497203	0,811850	0,859155	7	1	
8	0,497189	0,811850	0,859155	7	1	
9	0,497221	0,811850	0,859155	7	1	
10	0,497274	0,811850	0,859155	7	1	
11	0,497317	0,811850	0,859155	7	1	
12	0,497202	0,811850	0,859155	7	1	
13	0,497344	0,811850	0,859155	7	1	
14	0,497474	0,811850	0,859155	7	1	
15	0,497433	0,811850	0,859155	7	1	
16	0,497276	0,811850	0,859155	7	1	
17	0,497337	0,811850	0,859155	7	1	
18	0,497359	0,811850	0,859155	7	1	
19	0,497276	0,836066	0,859155	5	0	
20	0,497092	0,876543	0,876543	7	0	
21	0,497002	0,876543	0,876543	7	0	
22	0,496981	0,876543	0,876543	7	0	
23	0,496874	0,876543	0,876543	7	0	
24	0,497031	0,876543	0,876543	7	0	
25	0,497027	0,876543	0,876543	7	0	
26	0,497101	0,876543	0,876543	7	0	
27	0,497094	0,876543	0,876543	7	0	
28	0,497205	0,876543	0,876543	7	0	
29	0,497191	0,876543	0,876543	7	0	
30	0,497139	0,876543	0,876543	7	0	
31	0,497225	0,876543	0,876543	7	0	
32	0,497388	0,876543	0,876543	7	0	
33	0,497319	0,876543	0,876543	7	0	
34	0,497443	0,876543	0,876543	7	0	
35	0,497397	0,876543	0,876543	7	0	
36	0,497511	0,876543	0,876543	7	0	
37	0,497584	0,876543	0,876543	7	0	
38	0,497559	0,876543	0,876543	7	0	
39	0,497636	0,876543	0,876543	7	0	
40	0,497531	0,876543	0,876543	7	0	
41	0,497542	0,876543	0,876543	7	0	
42	0,497591	0,876543	0,876543	7	0	
43	0,497542	0,876543	0,876543	7	0	
44	0,497589	0,876543	0,876543	7	0	
45	0,497633	0,876543	0,876543	7	0	
46	0,497507	0,876543	0,876543	7	0	
47	0,497432	0,876543	0,876543	7	0	
48	0,497410	0,876543	0,876543	7	0	
49	0,497395	0,876543	0,876543	7	0	
